"date","Participant","QP1","QP2","QP3","QP4","QP5","QP6","QP7","QHS1","QHS2","QHS3","QHS4","QHS5","QHS6","QHS7","QHI1","QHI2","QHI3","QHI4","QHI5","QHI6","QHI7","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6","ATT7"
"Wed Jan 11 10:05:11 2023","596a62a1-e2cb-4de5-83bb-08e74eb8d105",2,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-3,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,1
"Wed Jan 11 10:05:20 2023","4617b849-0f57-497f-91f9-b1fbae2aa7e7",-1,-1,0,-1,-1,2,2,-2,2,-2,-3,1,-2,-2,-1,2,-3,-2,-1,-1,2,-2,1,-1,2,-2,1,-1
"Wed Jan 11 10:06:09 2023","995b275d-7f23-4752-a6e2-2f7bee0dfcc9",-1,1,-1,0,0,1,1,-3,3,-2,-3,2,2,-3,-1,0,-2,2,1,1,2,-2,1,-1,2,-2,1,-1
"Wed Jan 11 10:07:14 2023","55dba95b-e512-430f-93d8-70c27ccb6311",-2,-1,-1,2,-1,3,3,-3,1,1,-3,3,-3,-2,0,0,-1,0,1,0,2,-2,2,-2,1,-1,2,-2
"Wed Jan 11 10:07:18 2023","2f5f811d-2ca1-45f2-a22d-4a88d84f4668",-2,-2,-2,1,1,2,1,-1,3,0,0,1,0,-1,0,1,-2,-1,0,0,2,-2,1,-2,2,-2,2,-2
"Wed Jan 11 10:08:37 2023","571fd600-f2ec-4684-aa4e-0503df291560",-2,-2,-1,-2,-2,2,1,-1,3,-1,-2,1,-1,-1,-2,2,-1,1,1,2,1,-1,1,-1,1,-1,1,0
"Wed Jan 11 10:08:43 2023","320d2d9d-538f-4b1a-b22a-c4c724ce2d85",2,-2,-2,0,2,-1,1,-1,0,1,-2,3,2,-2,0,-1,-2,2,1,0,1,-3,1,-2,2,-2,1,-3
"Wed Jan 11 10:09:17 2023","badb1c52-334c-46d5-bf53-443a1838dc29",-2,-1,1,-1,1,-1,-1,0,3,-1,0,0,1,0,-1,2,0,0,0,0,0,1,-1,-1,-1,0,1,0
"Wed Jan 11 10:54:17 2023","806f7e14-af9f-432c-9cbe-322128fa08f7",2,2,2,-1,2,-2,-2,-2,2,-1,-1,1,2,-2,1,-1,-3,2,0,1,-1,-2,1,0,2,-1,1,-2
"Wed Jan 11 10:54:27 2023","7f2bfde4-5861-4aa1-9d05-5c606a1c45e8",2,2,-1,0,1,-2,-1,-1,1,-2,1,-2,-1,-2,-3,-2,2,-1,-2,2,-2,2,-1,2,-2,1,-2,1
"Wed Jan 11 10:58:36 2023","b0ccf63c-9e7f-4e1f-8eae-01607a07864d",2,2,1,-2,1,-1,1,-2,2,-2,-2,1,2,-2,-1,1,0,1,-1,1,2,-2,2,-1,3,-1,1,-1
"Wed Jan 11 10:59:46 2023","ff7ddc44-67b8-485a-9e9c-9ce4f9d2f5fa",1,1,0,1,1,1,2,-2,2,-2,-2,1,1,-2,-2,-2,-1,0,-1,1,2,-3,1,0,1,-1,1,-2
"Wed Jan 11 11:00:18 2023","d6a014fa-dc30-44ba-8aa7-60212abea254",2,-1,-2,2,-1,2,-1,-3,3,-3,-3,3,2,-3,-1,1,1,3,1,1,2,-2,2,-2,2,-3,2,-2
"Wed Jan 11 12:53:54 2023","8cb097a6-64b3-4285-8388-1da43dea485e",1,1,-2,-2,-1,1,0,-2,3,-2,-1,0,-2,-1,-2,3,1,-2,2,3,1,-1,-1,2,1,-2,1,-1
"Wed Jan 11 12:57:17 2023","5309bc55-1beb-4709-83f3-3d7adc263814",2,3,-1,-2,1,-2,-1,-3,2,-2,-2,1,3,-2,1,0,0,-1,-1,-1,-2,3,-2,2,-1,2,-1,-1
"Wed Jan 11 12:57:18 2023","084007b5-e113-4d34-8d1a-9e8e57ab9914",1,-1,-1,3,-1,1,0,1,-1,1,-1,-1,-1,1,-1,3,-1,-1,-1,1,-1,0,-3,1,-1,0,-2,1
"Wed Jan 11 13:01:00 2023","5048c496-deed-4e0e-aa3d-d336bccb4f6e",3,-1,-3,3,2,2,2,-2,3,1,-3,3,2,-3,-3,-2,-2,2,3,-2,2,-3,-2,-1,2,-3,2,-3
"Wed Jan 11 13:01:21 2023","f719611c-ade9-4721-94e8-15e579e11581",1,1,2,-3,1,-3,-3,-2,2,-3,-3,1,3,-3,-1,2,-1,2,-1,1,-1,1,2,1,1,1,1,-1
"Wed Jan 11 13:03:34 2023","8955dd13-1c23-4c56-a185-92b5208d2d95",-1,2,-2,1,0,-1,1,-3,3,-2,-3,1,3,-2,1,0,-2,3,2,-2,3,-1,1,1,1,-3,1,-1
"Wed Jan 11 13:05:37 2023","56d63af1-64ce-43a3-ac50-a72ddc205696",2,-1,-3,3,-1,2,3,-3,2,-2,-3,3,3,-3,1,-1,-3,3,1,-1,2,-3,3,-3,2,-3,2,-3
"Wed Jan 11 13:06:35 2023","92739d81-3fc1-4aa8-9640-7cce280484f4",2,1,-1,1,-1,-1,3,-2,3,2,-2,1,2,-2,-1,-1,-1,1,-1,1,1,1,1,1,-2,0,0,-2
"Wed Jan 11 13:56:10 2023","e3fd7bc2-bb0f-45c1-9bd1-737c713aaab5",-1,-1,-2,0,-1,1,1,-2,3,-1,-1,2,2,-2,1,2,-1,0,0,-1,1,-1,0,-1,1,-2,2,-2
"Wed Jan 11 13:56:43 2023","6694f706-aca3-4c33-b94a-2c42939286af",2,-1,-2,-2,-1,1,2,-3,2,-1,-2,1,1,-2,1,1,-2,-1,1,-2,3,2,1,-2,2,-2,2,-2
"Wed Jan 11 13:58:51 2023","271a4b2e-9dd4-4fe1-a906-68d339da1b36",-1,-2,-2,0,-2,2,2,-3,3,-2,-3,2,0,-3,2,3,-1,0,1,-1,1,-3,1,-2,1,-2,1,-1
"Wed Jan 11 13:59:16 2023","1588ee04-c026-4085-9348-9139ba0ff15d",3,3,3,-2,0,-1,-1,-3,3,-3,-1,1,2,-2,-3,0,0,0,-3,3,-1,3,-2,3,0,-2,-1,1
"Wed Jan 11 14:02:49 2023","78c395eb-475d-4b37-afe7-5be62e2306d9",0,1,0,1,0,0,3,-2,3,2,0,3,-3,-3,-1,-1,-1,-2,1,-2,0,0,-2,-2,1,-1,1,-1
"Wed Jan 11 14:03:52 2023","2a329814-09b7-4d24-ba4e-4c8fdb8fd15f",1,-1,-2,1,-1,1,2,-3,2,-1,-2,1,1,-2,-1,1,-2,1,-1,1,2,-2,1,-2,1,-2,2,-1
"Wed Jan 11 14:06:25 2023","cca2054c-88ac-4787-ad1c-0d716b587526",0,1,2,-2,2,-2,-1,-2,2,2,3,1,0,-3,-1,3,0,0,0,0,0,-1,0,1,1,0,2,1
"Wed Jan 11 14:07:21 2023","89aefd0c-24e7-412b-bc21-8b38e2876f3e",-3,-3,-3,1,2,1,2,-2,3,-1,-2,2,2,-2,1,3,2,-2,1,1,2,-2,-1,-2,2,-2,2,-2
"Wed Jan 11 14:48:17 2023","e5cfe289-06b8-4972-b352-8126b175ba2d",2,2,-3,-3,-2,-2,-2,-2,2,-2,-2,-1,2,-1,-3,-3,2,0,-3,3,-2,2,-2,3,-3,1,-3,2
"Wed Jan 11 14:48:36 2023","c78efb41-84f2-464b-bc70-c10e26d1709c",2,2,2,-2,2,1,-1,-2,3,1,-2,-1,-1,-1,-2,-1,2,2,-2,3,1,2,-1,2,-3,-1,-3,1
"Wed Jan 11 14:49:28 2023","99ba3df5-e881-462b-bc1d-6fa6452ce156",3,3,-2,1,-1,3,2,-2,3,-2,-3,2,3,-3,-3,1,-3,2,-2,2,1,-2,2,-2,3,-2,2,-3
"Wed Jan 11 14:50:02 2023","4edd1b00-7684-4910-9f68-6c8805a04805",3,1,-2,2,-1,2,2,-1,3,-1,-1,2,2,-1,-1,-2,-2,2,-1,2,3,0,2,-3,3,-3,1,-3
"Wed Jan 11 14:50:14 2023","d67a80a1-e8de-4fd7-9810-778ed42eeecb",2,1,2,1,2,-1,-1,-3,3,-2,-3,2,1,-3,-2,1,-1,2,2,1,1,-2,2,0,2,-1,3,-2
"Wed Jan 11 14:50:27 2023","5bb4082d-ab20-4cb1-878c-7178da9acfbe",2,1,0,1,-1,1,2,3,1,0,-1,1,-2,-2,-1,0,-1,1,0,1,2,2,-1,-2,2,0,2,-2
"Wed Jan 11 14:52:40 2023","e997624b-99a0-47ce-bee7-a69dc8e749ec",2,1,-1,-2,1,-1,-1,-2,2,-1,-1,1,2,-1,-1,-1,-1,3,-1,1,1,-2,1,-1,1,-1,1,-1
"Wed Jan 11 14:52:45 2023","f86f13c5-bd1d-4ce8-90f3-e2df93f280aa",0,-2,2,0,0,2,2,1,1,0,0,1,-1,2,-3,-1,-3,0,-3,3,1,-3,1,-1,0,-1,1,-2
"Wed Jan 11 14:55:47 2023","43883f65-5d5f-4129-9c71-6016b8b27778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Jan 18 14:21:03 2023","e25abb72-66da-484b-83d4-458fdad90609",3,1,1,-1,1,-1,-1,-3,3,-3,-2,2,2,-2,-1,-2,-2,2,0,1,2,1,2,-2,2,-2,1,-1
"Wed Jan 18 14:22:50 2023","f948f755-e8ee-4b88-9154-bf221ccde252",2,1,1,1,0,0,1,-3,2,-2,0,2,1,-2,-1,-2,-3,2,-1,1,2,-2,2,-2,2,-2,2,-1
"Wed Jan 18 18:07:28 2023","d15b94fd-b8a7-470c-91e2-b472f7514dd9",-2,-1,1,1,-1,-1,-1,3,-3,2,2,-1,-1,2,1,2,2,-2,1,-1,-2,1,-2,1,-1,2,-1,1
