Horodateur,Veuillez indiquer le numéro qui vous a été attribué au début du protocole d'expérimentation. (e.g. : 19),Quel âge avez-vous ? ,Vous êtes : ,Vous êtes : ,Dans quel domaine étudiez ou travaillez-vous ? ,"En général, comment vous avez trouvé l'utilisation du site ?",Comment avez-vous trouvé le processus d'enregistrement et de développement de vos idées ?,"Avez-vous trouvé et utilisé les ressources présentes sur notre site ? (articles, recherches...)",Quels sont les problèmes que vous avez rencontrés ?,"Quelles seraient vos propositions afin d'améliorer l'ergonomie (L’ergonomie d’un produit web représente l’ensemble des aspects de l’interface en question permettant une utilisation efficace, agréable, facile…) et l'utilisation du site d'Itonics ? ","Selon votre expérience et votre ressenti, qu'est ce qui a impacté votre expérience de l'ajout d'idée ?","Dans le cadre de l'exploration des idées saisies, qu'est-ce qui a impacté votre expérience ?",Quels sont les ressentis concernant le système de navigation ? Quelles sont les éléments factuels qui ont impacté la navigation ?,Avez-vous des remarques à nous transmettre ? 
09/01/2023 15:24:25,9,18-24,Un homme,Etudiant,,2,4,"non, j'en avais pas besoin",compréhension du site,Un véritable tuto,,,,Revoir votre scénario
09/01/2023 15:26:19,,25-35,Un homme,Etudiant,,1,10,J'ai même pas remarqué,Difficultés de navigation,Rediger un PDf explicatif. ,,,,Rediger un fichier PDF. 
09/01/2023 15:30:16,32,25-35,Ne souhaite pas préciser,Etudiant,Urbanisme,4,6,"non, j'en avais pas besoin",Difficultés de navigation,rien merci,,,,non merci
09/01/2023 15:30:24,24,25-35,Un homme,Etudiant,Urbanisme,1,8,J'ai même pas remarqué,compréhension du site,je propose de nommer les option avec des termes moins technique par exemple pour évaluer ça m'a prit du temps pour comprendre que c'est au niveau du radar.,,,,"le site est trop compliqué à l'usage, l'interface doit être beaucoup plus simple."
16/01/2023 10:49:48,99,25-35,Un homme,Salarié,Ingénierie,4,4,"non, j'en avais pas besoin",Je n'ai pas rencontré de problème lors de l'utilisation du site,Un peu plus de contraste dans les coulour pour identifier les buttons plus facile,La simplicité,La posibilité d'avoir plusieurs visualizations pour l'analyse,C'était pas evident pour passer en mode analyse des idées (matrix),Merci pour ce test
16/01/2023 10:58:08,,,Ne souhaite pas préciser,Betal,Architecture,5,3,"non, j'en avais pas besoin",Je n'ai pas rencontré de problème lors de l'utilisation du site,Amélioration pour le smartphone ,C'est très facile de partager une idée sans être jugé ,Exploration facile des idées des gens,Système de navigation idéal pour les débutants dans le site ,Juste amélioration de site pour avoir moins de bug
16/01/2023 11:00:12,Clara Di Marco (1?),18-24,Une femme,Etudiant,Sciences,4,5,"oui, tout à fait",compréhension du site,Faire un tutorial plus complet,,,,
16/01/2023 11:25:09,34,18-24,Un homme,Etudiant,Urbanisme,2,8,J'ai même pas remarqué,compréhension du site,Plus de beauté dans ce monde laid ! ,La mochete ,Quel est le sens de cette question ? ,Trop d’éléments ,Pas spécialement 
16/01/2023 11:26:17,65,18-24,Une femme,Apprenti,Ingénierie,1,3,"non, j'en avais pas besoin",compréhension du site,décrire ce à quoi servent les différentes rubriques du site car il y a pleins de choses mais à première vue on ne comprend pas à quoi ça sert,l'ajout d'idée est relativement simple et intuitif,j'ai trouvé ça plutôt facile,le système de navigation n'est pas intuitif et on ne comprend pas à quoi servent les rubriques,rendre le site plus compréhensible
16/01/2023 11:26:20,52,18-24,Un homme,Etudiant,Urbanisme,3,5,J'ai même pas remarqué,Difficultés de navigation,"Tutoriel plus court, une onglet des tutoriels pour chaque pas et les différents procès à faire",Le temps d'expérimentation ,Les facteurs externes,Facteur externe (connexion internet),
16/01/2023 11:29:14,77,25-35,Une femme,Salarié,Architecture,3,8,"non, j'en avais pas besoin",Difficultés de navigation,mettre en évidence l'option de création des idées ( on dirait une option secondaire ) ,je ne comprends pas la question,RAS,,RAS
16/01/2023 11:36:43,,18-24,Une femme,Etudiant,Informatique ,2,3,"oui, tout à fait",compréhension du site,Optimiser l expérience mobile,,,,
16/01/2023 11:45:30,1,18-24,Une femme,Apprenti,Design,2,5,J'ai même pas remarqué,Difficultés de navigation,"Rendre le tutoriel obligatoire, permettre plus de personnalisation",Le manque d'indications => problème pour rentrer et comparer les idées,J'ai bien aimé pouvoir comparer les idées selon différents critères,"Manque de graphisme, de style, de hiérarchisation, de clarté dans les titres...",Courage